URL;favicon_redirection;request_url_cross_site;iframe;submitting_information_to_email;url_of_anchor_cross_site;number_of_images;security_WOT_status;links_in_tags;ip_address_in_domain;long_url_character;prefix_suffix_in_domain;number_of_subdomain;https_lookup;registration_url_in_WHOIS;domain_registration_length;age_of_domain;result
https://365inlove.com/;on site;< 22%;tidak menggunakan;menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.32barblues.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.ibushak.com/;on site;< 22%;menggunakan;menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.50spoodleskirts.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.3inute.com/;on site;< 22%;menggunakan;menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.ibraggiotti.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.icing.com/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.iconery.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.kohls.com/;on site;>= 22% dan <= 65%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://shopping.yahoo.co.jp/;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://auctions.yahoo.co.jp/;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.amazon.co.jp/;on site;> 65%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.macys.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.elcorteingles.es/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.lowes.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.bestbuy.com/en-ca;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;>= 10 dan <= 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.ebay.es/;cross site;> 65%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
